Wall time,Step,Value
1736634550.8333793,146,9.0
1736634551.748519,148,6.0
1736634552.0408442,149,7.0
1736634552.6229808,150,14.0
1736634553.1226678,151,12.0
1736634554.3309588,153,21.0
1736634555.0359821,154,17.0
1736634555.329862,155,7.0
1736634556.4540827,157,6.0
1736634556.7464144,158,7.0
1736634557.0382745,159,7.0
1736634559.1967587,161,13.0
1736634559.7694452,162,13.0
1736634561.0841842,164,26.0
1736634562.211215,165,27.0
1736634563.041087,167,10.0
1736634564.3504076,168,32.0
1736634564.7332458,169,9.0
1736634565.8191752,171,9.0
1736634569.6529865,175,7.0
1736634570.19893,176,13.0
1736634570.6119897,177,10.0
1736634572.1320515,178,32.0
1736634573.1704452,180,16.0
1736634574.0034268,181,19.0
1736634575.5510826,183,18.0
1736634576.6516063,185,11.0
1736634578.0828605,186,34.0
1736634578.6268187,187,13.0
1736634579.1340282,188,9.0
1736634582.0526564,190,41.0
1736634582.8385603,191,19.0
1736634588.2412164,198,41.0
1736634590.1327696,202,22.0
1736634594.390331,205,80.0
1736634594.772118,206,9.0
1736634596.0200045,207,30.0
1736634596.804178,208,19.0
1736634598.533446,212,5.0
1736634599.5484507,213,25.0
1736634599.805518,214,6.0
1736634600.9223926,215,27.0
1736634603.091933,218,5.0
1736634603.6115875,219,12.0
1736634606.9090936,220,80.0
1736634607.4908292,221,14.0
1736634607.6625125,222,4.0
1736634609.0820172,223,34.0
1736634615.3191879,225,80.0
1736634617.2865822,226,45.0
1736634618.23436,227,21.0
1736634619.5250845,229,6.0
1736634620.3553596,230,20.0
1736634620.8168318,231,11.0
1736634621.0302398,232,5.0
1736634622.0778997,233,25.0
1736634623.1278732,234,25.0
1736634629.8102853,237,48.0
1736634630.7281587,238,19.0
1736634635.544978,240,69.0
1736634639.0603735,244,38.0
1736634639.4232216,245,8.0
1736634640.2134268,247,10.0
1736634641.4594426,248,30.0
1736634642.452859,249,24.0
1736634645.4282327,250,64.0
1736634648.7815597,251,80.0
1736634649.0315967,252,6.0
1736634651.570863,255,27.0
1736634655.943426,258,65.0
1736634656.483988,259,13.0
1736634656.8627977,260,9.0
1736634657.2426388,261,9.0
1736634659.517459,263,23.0
1736634664.9988117,267,35.0
1736634669.9116387,269,41.0
1736634671.0708137,271,6.0
1736634672.482499,272,32.0
1736634673.3427892,273,21.0
1736634675.378691,274,44.0
1736634676.5022051,275,27.0
1736634677.9734232,277,17.0
1736634678.719674,278,18.0
1736634680.6341276,280,30.0
1736634683.4854887,282,13.0
1736634686.862675,284,52.0
1736634698.231887,289,80.0
1736634701.9275162,291,42.0
1736634703.7502096,292,41.0
1736634707.2959871,294,16.0
1736634710.6686466,295,80.0
1736634711.0510564,296,9.0
1736634711.389962,297,8.0
1736634711.7230983,298,8.0
1736634715.0477164,299,80.0
1736634717.7064743,300,60.0
1736634718.466748,301,18.0
1736634719.0934393,302,15.0
1736634722.4677234,303,80.0
1736634729.3126547,307,80.0
1736634732.8057878,308,80.0
1736634734.503718,310,25.0
1736634737.1719072,313,8.0
1736634744.95125,317,80.0
1736634748.489815,318,80.0
1736634751.9033766,319,80.0
1736634755.2388508,320,80.0
1736634759.2887802,322,80.0
1736634762.8222408,323,80.0
1736634766.1687005,324,80.0
1736634769.6473744,325,80.0
1736634772.4364989,326,61.0
1736634773.4272242,327,24.0
1736634777.6308227,330,45.0
1736634778.3076088,331,14.0
1736634782.9514644,333,80.0
1736634785.5886166,335,28.0
1736634790.4975276,337,31.0
1736634797.0221846,339,73.0
1736634800.87787,341,80.0
1736634801.8499076,342,23.0
1736634802.270575,343,10.0
1736634803.023086,344,18.0
1736634804.3739598,345,33.0
1736634805.9404738,346,36.0
1736634809.4200163,347,77.0
1736634809.986878,348,10.0
1736634811.039312,349,25.0
1736634812.1653328,351,9.0
1736634814.2073805,353,20.0
1736634814.4239736,354,5.0
1736634820.8203921,356,73.0
1736634826.1919608,358,80.0
1736634829.8019779,359,80.0
1736634830.3877401,360,14.0
1736634831.5953522,361,28.0
1736634834.5493724,362,71.0
1736634835.8446355,363,31.0
1736634839.3534236,364,80.0
1736634840.482469,365,27.0
1736634842.5463214,366,45.0
1736634844.1576748,367,39.0
1736634845.3848584,368,28.0
1736634849.107302,370,26.0
