Wall time,Step,Value
1736722345.2060401,109,30.0
1736722400.0202186,113,14.0
1736722421.712499,116,16.0
1736722449.5563357,118,33.0
1736722458.886488,119,18.0
1736722470.2988935,120,21.0
1736722513.6091204,124,27.0
1736722526.9341373,125,23.0
1736722541.1419199,126,23.0
1736722553.7857778,127,21.0
1736722561.1675775,129,6.0
1736722576.1049008,130,30.0
1736722597.8989391,133,22.0
1736722608.266725,136,4.0
1736722614.135494,137,12.0
1736722651.0821211,139,9.0
1736722657.506302,141,5.0
1736722677.192045,142,40.0
1736722707.8422863,143,62.0
1736722717.6461089,144,20.0
1736722720.6046157,145,6.0
1736722728.9360864,146,17.0
1736722743.1475005,148,24.0
1736722749.0386546,149,12.0
1736722760.722376,150,24.0
1736722771.560056,151,22.0
1736722783.8412266,153,7.0
1736722788.2228494,154,9.0
1736722793.5736604,155,11.0
1736722821.8477721,157,34.0
1736722828.15036,158,13.0
1736722834.981488,159,14.0
1736722857.3993883,161,13.0
1736722864.699168,162,15.0
1736722885.2789075,164,10.0
1736722888.201767,165,6.0
1736722907.318382,167,17.0
1736722910.2338843,168,6.0
1736722921.9116971,169,24.0
1736722945.782783,171,19.0
1736722982.5216396,175,9.0
1736722987.4826927,176,10.0
1736722991.4120555,177,8.0
1736722998.2780998,178,14.0
1736723039.1189268,180,17.0
1736723051.3982131,181,25.0
1736723064.1607175,183,11.0
1736723097.2236505,185,29.0
1736723105.1010044,186,16.0
1736723110.024026,187,10.0
1736723116.9796882,188,14.0
1736723121.938901,190,6.0
1736723133.8308895,191,24.0
1736723185.5322528,198,14.0
1736723225.7735097,202,17.0
1736723244.9179306,205,9.0
1736723247.370133,206,5.0
1736723249.845301,207,5.0
1736723252.825304,208,6.0
1736723272.2153316,212,6.0
1736723275.3578537,213,6.0
1736723278.7964454,214,7.0
1736723294.01241,215,31.0
1736723306.738816,218,14.0
1736723317.0385652,219,21.0
1736723325.3816423,220,17.0
1736723331.2457862,221,12.0
1736723335.6127346,222,9.0
1736723355.9805412,223,42.0
1736723380.0259514,225,15.0
1736723388.7753549,226,18.0
1736723392.1706152,227,7.0
1736723414.002968,229,8.0
1736723418.3967028,230,9.0
1736723437.310464,231,39.0
1736723444.6898143,232,15.0
1736723447.6254652,233,6.0
1736723459.8368104,234,25.0
1736723519.5593004,237,35.0
1736723529.358318,238,20.0
1736723544.4778624,240,6.0
1736723572.8805847,244,12.0
1736723581.2308567,245,17.0
1736723604.8173027,247,27.0
1736723613.2215295,248,17.0
1736723618.1214578,249,10.0
1736723625.9725137,250,16.0
1736723628.4320054,251,5.0
1736723634.3152614,252,12.0
1736723652.998145,255,5.0
1736723674.308859,258,29.0
1736723686.273541,259,24.0
1736723690.3160877,260,8.0
1736723694.7624314,261,9.0
1736723724.8719437,263,54.0
1736723781.4372895,267,6.0
1736723795.69012,269,13.0
1736723806.098168,271,11.0
1736723815.889202,272,20.0
1736723818.9068449,273,6.0
1736723824.7764657,274,12.0
1736723831.6568747,275,14.0
1736723857.2113802,277,47.0
1736723860.1849122,278,6.0
1736723877.9126542,280,30.0
1736723884.8310652,282,6.0
1736723911.2703447,284,29.0
1736723945.6689024,289,25.0
1736723952.5181625,291,9.0
1736723955.5071096,292,6.0
1736723966.465946,294,9.0
1736723975.864679,295,19.0
1736723998.2837842,296,45.0
1736724006.1535335,297,16.0
1736724009.1176107,298,6.0
1736724026.6523046,299,36.0
1736724032.0001404,300,11.0
1736724046.5947697,301,30.0
1736724049.0682535,302,5.0
1736724063.8199234,303,30.0
1736724104.2341259,307,17.0
1736724117.521525,308,27.0
1736724139.144105,310,10.0
1736724163.1788478,313,17.0
1736724206.9028609,317,13.0
1736724216.8687656,318,20.0
1736724228.3826406,319,23.0
1736724241.180516,320,26.0
1736724265.916888,322,28.0
1736724277.6606448,323,24.0
1736724290.4674764,324,26.0
1736724299.311633,325,18.0
1736724305.6708546,326,13.0
1736724312.5591102,327,14.0
1736724361.1110933,330,4.0
1736724400.2474315,331,80.0
1736724409.5848768,333,9.0
1736724436.258164,335,28.0
1736724456.5229166,337,31.0
1736724471.2543678,339,25.0
1736724486.542666,341,6.0
1736724494.9562478,342,17.0
1736724512.5803177,343,36.0
1736724522.3509061,344,20.0
1736724531.6913714,345,19.0
1736724540.9703686,346,19.0
1736724552.692962,347,24.0
1736724564.579869,348,24.0
1736724575.3731177,349,22.0
1736724596.1977127,351,35.0
1736724622.1466851,353,34.0
1736724628.962682,354,14.0
1736724637.3271196,356,7.0
1736724683.455787,358,23.0
1736724687.3865604,359,8.0
1736724694.7476802,360,15.0
1736724708.5326023,361,28.0
1736724713.3963766,362,10.0
1736724730.4638782,363,35.0
1736724739.2917948,364,18.0
1736724742.2140455,365,6.0
1736724751.5565727,366,19.0
1736724755.01881,367,7.0
1736724757.962337,368,6.0
1736724768.341945,370,14.0
1736724773.859854,371,11.0
1736724785.1518948,373,7.0
1736724821.842294,375,32.0
1736724829.7809095,376,16.0
1736724840.6283045,377,22.0
1736724846.5566964,378,12.0
1736724861.35425,379,30.0
1736724882.6091738,381,23.0
1736724891.989828,382,19.0
1736724923.3152385,384,5.0
1736724930.6414516,385,15.0
1736724947.3899045,386,34.0
1736724953.274405,387,12.0
1736724963.4881573,388,19.0
1736725002.741132,390,33.0
1736725019.4126818,391,34.0
1736725026.4150167,392,14.0
1736725041.611736,393,31.0
1736725101.6157477,398,52.0
1736725108.520176,399,14.0
1736725170.7935882,402,33.0
1736725209.9892995,403,80.0
1736725222.14188,405,14.0
1736725236.8755693,406,30.0
1736725296.4125755,408,52.0
1736725318.9494467,410,9.0
1736725385.9499128,415,13.0
1736725392.8959665,416,14.0
1736725404.6849942,419,6.0
1736725413.559973,420,18.0
1736725419.4556458,421,12.0
1736725442.08527,422,46.0
1736725453.9024389,423,24.0
1736725459.7947583,424,12.0
1736725526.9532578,426,80.0
1736725598.2770903,428,64.0
1736725647.6652622,430,80.0
1736725690.530681,432,80.0
1736725723.3452907,435,9.0
1736725729.2510014,436,12.0
1736725767.0302942,439,41.0
1736725776.7916572,440,20.0
1736725787.6320045,441,22.0
1736725798.933016,442,23.0
1736725828.9620364,444,15.0
1736725844.2121468,445,31.0
1736725876.6989577,448,14.0
1736725900.7806778,449,49.0
1736725948.5608299,451,80.0
1736726009.1497226,454,45.0
1736726022.905348,457,8.0
1736726030.753711,458,16.0
1736726045.9851527,459,31.0
1736726085.4554205,460,80.0
1736726099.8732657,461,29.0
1736726105.8287294,463,8.0
1736726129.5511823,464,48.0
1736726159.1799421,465,60.0
1736726168.1532679,466,18.0
1736726207.24854,467,79.0
1736726216.6279595,468,19.0
1736726238.5387309,469,44.0
1736726305.036916,471,80.0
1736726357.790265,473,25.0
1736726362.674639,474,10.0
1736726445.846172,477,80.0
1736726484.781672,478,80.0
1736726563.909066,482,39.0
1736726607.865481,485,31.0
1736726627.889491,486,41.0
1736726668.7041705,488,53.0
1736726696.515918,489,56.0
1736726742.1817908,491,62.0
1736726756.877509,492,30.0
1736726791.0742364,493,70.0
1736726835.086655,496,29.0
1736726845.3970768,497,21.0
1736726872.8374658,499,42.0
1736726958.7588117,503,61.0
1736727035.7569697,506,32.0
1736727053.8983831,507,37.0
1736727060.2810235,508,13.0
1736727077.0456426,509,34.0
1736727083.9262862,510,14.0
1736727115.1725225,511,63.0
1736727154.3527613,512,80.0
1736727199.1487753,514,12.0
1736727226.3398888,515,56.0
1736727236.034489,516,20.0
1736727241.388753,517,11.0
1736727257.938766,518,34.0
1736727266.2554915,519,17.0
1736727276.5414572,520,21.0
1736727359.2676919,524,28.0
1736727369.0543056,525,20.0
1736727483.9393897,531,41.0
1736727506.0167148,533,15.0
1736727517.747901,534,24.0
1736727556.6923275,535,80.0
1736727585.976021,536,60.0
1736727601.1376848,537,31.0
1736727640.0117276,538,80.0
1736727642.9385934,539,6.0
1736727664.7805321,540,45.0
1736727672.030327,541,15.0
1736727709.8358479,542,78.0
1736727741.9882946,543,64.0
1736727746.429421,544,9.0
1736727750.82141,545,9.0
1736727758.6517181,546,16.0
1736727763.556362,547,10.0
1736727768.9744904,548,11.0
1736727777.8451035,549,18.0
1736727818.0729675,551,10.0
1736727831.3224733,552,27.0
1736727838.2144272,553,14.0
1736727872.3207936,555,18.0
1736727949.2965271,557,80.0
1736727981.7829301,559,61.0
1736728000.9781122,560,39.0
1736728075.8197825,563,22.0
1736728081.896803,564,12.0
1736728087.7646177,565,12.0
1736728106.218295,567,7.0
1736728134.6405666,568,58.0
1736728138.0934303,569,7.0
1736728174.1514726,571,21.0
1736728231.978208,573,38.0
1736728237.3336349,574,11.0
1736728282.5409517,576,13.0
1736728284.5052445,577,4.0
1736728323.4123561,578,80.0
1736728362.1990764,579,80.0
1736728374.0293884,580,24.0
1736728388.14526,581,29.0
1736728407.896636,582,38.0
1736728424.064874,583,33.0
1736728447.606003,584,48.0
1736728512.7027628,586,80.0
1736728551.9860485,587,80.0
1736728560.4148908,588,17.0
1736728604.5429296,591,43.0
1736728625.9057326,592,44.0
1736728665.163254,593,80.0
1736728717.5551646,595,80.0
1736728756.9035845,596,80.0
1736728795.6977558,597,80.0
1736728806.4394484,598,22.0
1736728824.9095542,600,31.0
1736728848.1769433,602,11.0
1736728887.0905237,603,80.0
1736728926.0879872,604,80.0
1736728955.2059498,606,15.0
1736728999.3701777,608,37.0
1736729024.443385,610,28.0
1736729035.294737,611,22.0
1736729045.188263,612,20.0
1736729119.3594182,615,6.0
1736729218.82045,619,16.0
1736729242.8708284,620,49.0
1736729273.1161447,621,61.0
1736729297.3308024,622,49.0
1736729308.1498609,623,22.0
1736729356.8659544,625,80.0
1736729374.9961154,626,37.0
1736729445.5945702,629,80.0
1736729452.4447265,630,14.0
1736729530.844256,632,80.0
1736729596.891436,634,68.0
1736729635.9893415,635,79.0
1736729754.0857053,638,80.0
1736729819.7396014,640,80.0
1736729858.7575939,641,79.0
1736729861.2071867,642,5.0
1736729934.9836926,644,69.0
1736729948.867713,645,28.0
1736729988.8057225,646,80.0
1736730028.0151436,647,80.0
1736730039.3516917,648,23.0
1736730078.9939,649,80.0
1736730100.6585114,650,44.0
1736730107.0898783,651,13.0
1736730146.532255,652,80.0
1736730244.9651217,656,53.0
1736730284.1191397,657,80.0
1736730341.6401112,659,36.0
1736730395.4328387,661,80.0
1736730430.0728235,662,70.0
1736730445.2278233,663,31.0
1736730452.141058,664,14.0
1736730491.5354717,665,80.0
1736730519.4097207,666,57.0
1736730527.7911928,667,17.0
1736730544.6927516,668,34.0
1736730559.9231224,669,31.0
1736730627.6653855,671,56.0
1736730661.6799831,672,69.0
1736730700.779635,673,80.0
1736730740.03465,674,80.0
1736730779.460621,675,80.0
1736730836.9834955,677,80.0
1736730876.461597,678,80.0
1736730878.938709,679,5.0
1736730931.1221943,681,51.0
1736730970.2562761,682,80.0
1736731009.5615642,683,80.0
1736731048.9716432,684,80.0
1736731068.8764756,685,40.0
1736731108.7152765,686,80.0
1736731135.2016695,687,54.0
1736731142.6958544,688,15.0
1736731165.5307887,689,46.0
1736731256.9273782,692,38.0
1736731289.7554307,694,19.0
1736731359.5177236,696,62.0
1736731419.6311948,699,34.0
1736731442.3202205,700,46.0
1736731456.115992,701,28.0
1736731466.4267871,702,21.0
1736731484.5066316,703,37.0
1736731501.2593973,704,34.0
1736731536.7082148,705,72.0
1736731575.7012923,706,80.0
1736731615.1217837,707,80.0
1736731628.428658,708,27.0
1736731667.7684085,709,80.0
1736731707.0559642,710,80.0
1736731746.5013363,711,80.0
1736731858.7564712,714,80.0
1736731875.158196,715,33.0
1736731974.8653324,718,42.0
1736732014.3408828,719,80.0
1736732044.3532,721,35.0
1736732051.8976972,722,15.0
1736732091.4097571,723,80.0
1736732126.2149396,724,71.0
1736732147.4257705,725,43.0
1736732154.782083,726,15.0
1736732203.687332,729,9.0
1736732240.7408116,730,74.0
1736732244.709077,731,8.0
1736732355.799316,735,80.0
1736732395.2588675,736,80.0
1736732450.7976906,738,33.0
1736732466.6438212,739,32.0
1736732471.0928452,740,9.0
1736732476.0613368,741,10.0
1736732528.3028731,743,80.0
1736732623.4259477,746,64.0
1736732656.1910546,747,67.0
1736732727.0600204,749,80.0
1736732736.8871691,750,20.0
1736732757.3469899,751,42.0
1736732776.9282506,752,40.0
1736732816.365158,753,80.0
1736732855.5171487,754,80.0
1736732863.8501666,755,17.0
1736732889.4925323,756,52.0
1736732924.50068,759,24.0
1736732940.7490115,760,33.0
1736733006.913642,762,60.0
1736733058.6075048,764,64.0
1736733063.0520666,765,9.0
1736733102.3789587,766,80.0
1736733141.7034588,767,80.0
1736733180.1133752,769,44.0
1736733204.8954282,770,50.0
1736733215.878828,771,22.0
1736733244.9172523,772,58.0
1736733284.3652568,773,80.0
1736733323.5459783,774,80.0
1736733334.3937318,775,22.0
1736733373.7537832,776,80.0
1736733441.690541,779,25.0
1736733481.0191739,780,80.0
1736733553.3133066,783,80.0
1736733592.7424023,784,80.0
1736733632.43764,785,80.0
1736733688.5862982,787,80.0
1736733739.411172,789,23.0
1736733778.8436065,790,80.0
1736733811.1753907,791,66.0
1736733850.6000075,792,80.0
1736733889.9365401,793,80.0
1736733915.9187784,794,53.0
1736733925.760328,795,20.0
1736733965.1068351,796,80.0
1736734018.1738882,798,29.0
1736734057.776401,799,80.0
1736734096.861425,800,80.0
1736734117.9890106,802,37.0
1736734165.237998,805,15.0
1736734204.6839035,806,80.0
1736734244.0174909,807,80.0
1736734283.1874495,808,80.0
1736734322.5710592,809,80.0
1736734401.257761,811,80.0
1736734422.448661,812,43.0
1736734436.6308722,813,29.0
1736734489.4873927,815,27.0
1736734528.7085452,816,80.0
1736734570.5251873,818,5.0
1736734635.7708097,821,80.0
1736734714.0956745,823,80.0
1736734753.382941,824,80.0
1736734792.7773678,825,80.0
1736734883.884215,828,80.0
1736734923.2748373,829,80.0
1736735001.9715352,831,80.0
1736735041.171115,832,80.0
1736735107.975086,834,55.0
1736735147.7862437,835,80.0
1736735161.1671224,836,27.0
1736735207.1513572,838,43.0
1736735226.1247475,839,39.0
1736735341.6175532,842,75.0
1736735381.1085417,843,80.0
1736735421.7807634,845,52.0
1736735442.0186949,846,41.0
1736735447.1372547,847,10.0
1736735484.3599768,848,76.0
1736735531.5588546,850,36.0
1736735570.981936,851,80.0
1736735585.6725063,852,30.0
1736735611.2976499,853,52.0
1736735676.4350357,855,80.0
1736735724.3241615,857,17.0
1736735802.5529454,859,80.0
1736735841.620248,860,80.0
1736735868.8882563,861,56.0
1736735908.0437362,862,80.0
1736735947.2130568,863,80.0
1736736084.9074826,867,41.0
1736736124.3918905,868,80.0
1736736163.6921186,869,80.0
1736736203.0331643,870,80.0
1736736303.755766,873,80.0
1736736322.3797286,874,38.0
1736736351.5389333,875,59.0
1736736358.3972456,876,14.0
1736736397.909096,877,80.0
1736736416.2826598,879,11.0
